chr10:100143465|100144824	hsa_circ_0092377
chr11:46837748|46837955	hsa_circ_0007012
chr11:46837748|46842799	hsa_circ_0095904
chr11:46837748|46842819	hsa_circ_0021929
chr11:46837748|46848927	hsa_circ_0095905
chr11:46910961|46912045	hsa_circ_0095906
chr11:47008758|47074069	hsa_circ_0095907
chr1:147076569|147078659	hsa_circ_0110714
chr1:147119251|147131890	hsa_circ_0110715
chr1:147120047|147131890	hsa_circ_0110716
chr1:147121945|147131890	hsa_circ_0110717
chr1:147131074|147131890	hsa_circ_0013958
chr11:47158866|47159280	hsa_circ_0095908
chr11:47176726|47179473	hsa_circ_0021938
chr11:47187818|47189802	hsa_circ_0000298
chr11:47189459|47189802	hsa_circ_0007980
chr11:47192976|47195391	hsa_circ_0021942
chr11:47196565|47196864	hsa_circ_0095910
chr11:47237886|47238600	hsa_circ_0000299
chr11:47237886|47256223	hsa_circ_0021950
chr11:47254364|47256223	hsa_circ_0021954
chr11:47254364|47256963	hsa_circ_0021955
chr11:47260350|47261470	hsa_circ_0003043
chr11:47282791|47283569	hsa_circ_0095912
chr11:47296113|47305832	hsa_circ_0021962
chr11:47297449|47315534	hsa_circ_0021963
chr11:47315433|47317130	hsa_circ_0021965
chr11:47317046|47317606	hsa_circ_0095913
chr11:47330141|47336878	hsa_circ_0095914
chr11:47336770|47336878	hsa_circ_0021967
chr11:47368976|47370092	hsa_circ_0000300
chr11:47380394|47381591	hsa_circ_0000302
chr11:47380394|47397280	hsa_circ_0000303
chr11:47381403|47397280	hsa_circ_0021970
chr11:473894|479152	hsa_circ_0095915
chr11:47394254|47394374	hsa_circ_0095916
chr1:147425576|147426634	hsa_circ_0013963
chr1:147426553|147460753	hsa_circ_0013964
chr11:47434950|47435237	hsa_circ_0021971
chr1:147438785|147442191	hsa_circ_0004917
chr1:147438785|147460753	hsa_circ_0013966
chr11:47444124|47444524	hsa_circ_0006723
chr1:147458430|147460753	hsa_circ_0004775
chr11:47493742|47497073	hsa_circ_0021995
chr11:47493742|47510576	hsa_circ_0003509
chr11:47493742|47521156	hsa_circ_0021996
chr11:47496887|47504408	hsa_circ_0095917
chr11:47496887|47505084	hsa_circ_0021999
chr11:47498397|47504408	hsa_circ_0095918
chr11:47498397|47505084	hsa_circ_0003191
chr11:47498848|47510576	hsa_circ_0022000
chr11:47498891|47500462	hsa_circ_0095919
chr11:47500428|47510576	hsa_circ_0022001
chr11:47500428|47522484	hsa_circ_0022002
chr11:47504246|47505084	hsa_circ_0022003
chr11:47504246|47510576	hsa_circ_0000304
chr11:47504246|47522484	hsa_circ_0095920
chr11:47505004|47506072	hsa_circ_0095921
chr11:47505004|47506075	hsa_circ_0006027
chr11:47505004|47510576	hsa_circ_0022005
chr11:47505940|47506075	hsa_circ_0022006
chr11:47505940|47510576	hsa_circ_0022007
chr11:47508301|47510576	hsa_circ_0007254
chr11:47508301|47522484	hsa_circ_0004112
chr11:47521004|47522484	hsa_circ_0008457
chr11:47521004|47528449	hsa_circ_0002379
chr11:47533235|47534202	hsa_circ_0095922
chr11:47602076|47602536	hsa_circ_0022013
chr11:47603639|47604020	hsa_circ_0022015
chr11:47644252|47647293	hsa_circ_0022019
chr11:47644252|47648679	hsa_circ_0022020
chr11:47644252|47650598	hsa_circ_0022021
chr11:47644252|47653263	hsa_circ_0095928
chr11:47644252|47656286	hsa_circ_0022022
chr11:47644252|47657123	hsa_circ_0022023
chr11:47647225|47648679	hsa_circ_0022025
chr11:47647225|47656286	hsa_circ_0022026
chr11:47648631|47652639	hsa_circ_0022027
chr11:47648631|47656286	hsa_circ_0022028
chr11:47648631|47657123	hsa_circ_0022029
chr11:47648631|47660603	hsa_circ_0022030
chr11:47650504|47652639	hsa_circ_0022031
chr11:47650504|47660603	hsa_circ_0022032
chr11:47652106|47652639	hsa_circ_0022033
chr11:47653205|47656286	hsa_circ_0095929
chr11:47660250|47660603	hsa_circ_0022039
chr11:47684577|47701625	hsa_circ_0095930
chr11:47741480|47744868	hsa_circ_0022042
chr11:47744527|47744868	hsa_circ_0008810
chr11:47744527|47755681	hsa_circ_0022043
chr11:47745579|47772842	hsa_circ_0022045
chr11:47746019|47758292	hsa_circ_0022046
chr11:47746019|47772842	hsa_circ_0022047
chr11:47746019|47774654	hsa_circ_0022048
chr11:47752925|47753113	hsa_circ_0095932
chr11:47752925|47755681	hsa_circ_0095933
chr11:47752925|47758292	hsa_circ_0095934
chr11:47752925|47772842	hsa_circ_0095935
chr11:47755576|47758292	hsa_circ_0095936
chr11:47755576|47772842	hsa_circ_0095937
chr11:47758167|47765715	hsa_circ_0095938
chr11:47765504|47767946	hsa_circ_0095939
chr11:47765504|47772842	hsa_circ_0022051
chr11:47765504|47786914	hsa_circ_0022052
chr11:47767607|47772842	hsa_circ_0095940
chr11:47772467|47772842	hsa_circ_0022053
chr11:47772467|47776216	hsa_circ_0022054
chr11:47772467|47786914	hsa_circ_0095942
chr11:47774467|47774654	hsa_circ_0022055
chr11:47774467|47776216	hsa_circ_0004075
chr11:47786821|47786914	hsa_circ_0022057
chr11:47804624|47806615	hsa_circ_0095943
chr11:47804624|47808106	hsa_circ_0022058
chr11:47804624|47810163	hsa_circ_0095944
chr11:47804624|47841010	hsa_circ_0022059
chr1:147805338|147808043	hsa_circ_0110718
chr11:47806473|47823482	hsa_circ_0095946
chr11:47809733|47810163	hsa_circ_0022062
chr11:47809733|47814498	hsa_circ_0022063
chr11:47809733|47823482	hsa_circ_0022064
chr11:47809733|47825088	hsa_circ_0095947
chr11:47813481|47814498	hsa_circ_0022068
chr11:47813481|47823482	hsa_circ_0022069
chr11:47813481|47841010	hsa_circ_0022070
chr11:47814337|47823482	hsa_circ_0022072
chr11:47819330|47820015	hsa_circ_0005514
chr11:47819330|47823482	hsa_circ_0022075
chr11:47819330|47825088	hsa_circ_0095948
chr11:47819330|47830081	hsa_circ_0095949
chr11:47819529|47819626	hsa_circ_0022076
chr11:47823362|47825088	hsa_circ_0022080
chr11:47823362|47828692	hsa_circ_0095950
chr11:47824989|47841010	hsa_circ_0095951
chr11:47826100|47827857	hsa_circ_0095952
chr11:47826100|47827864	hsa_circ_0022084
chr11:47826100|47830081	hsa_circ_0022085
chr11:47826100|47841010	hsa_circ_0095953
chr11:47829947|47837581	hsa_circ_0022090
chr11:47829947|47841010	hsa_circ_0022091
chr11:47833615|47833981	hsa_circ_0095954
chr11:47833615|47859175	hsa_circ_0022093
chr11:47837030|47837581	hsa_circ_0095955
chr11:47837030|47841010	hsa_circ_0095956
chr11:47837030|47843716	hsa_circ_0095957
chr11:47839607|47841010	hsa_circ_0022094
chr11:47840925|47843716	hsa_circ_0095958
chr11:47843275|47859175	hsa_circ_0005696
chr11:47857202|47859175	hsa_circ_0003538
chr11:47857202|47862140	hsa_circ_0095959
chr11:47861394|47862140	hsa_circ_0022096
chr11:48131609|48146738	hsa_circ_0022098
chr11:48131609|48152268	hsa_circ_0022099
chr11:48134298|48152268	hsa_circ_0095961
chr11:48142554|48142818	hsa_circ_0022101
chr11:48142554|48146738	hsa_circ_0095962
chr11:48161037|48161328	hsa_circ_0022103
chr11:48161037|48186067	hsa_circ_0022104
chr11:48175347|48177671	hsa_circ_0095964
chr11:48175347|48186067	hsa_circ_0095965
chr11:48181481|48186067	hsa_circ_0095966
chr1:148558187|148561115	hsa_circ_0013972
chr1:148560846|148561115	hsa_circ_0013973
chr1:148560846|148568877	hsa_circ_0002396
chr1:148560846|148569425	hsa_circ_0006176
chr1:148560846|148577824	hsa_circ_0006679
chr1:149239867|149255307	hsa_circ_0110719
chr1:1496711|1500296	hsa_circ_0110722
chr1:149902256|149902857	hsa_circ_0013984
chr1:149919151|149949511	hsa_circ_0013986
chr1:149931602|149936274	hsa_circ_0110723
chr1:149936146|149937803	hsa_circ_0003619
chr1:149937701|149943179	hsa_circ_0013988
chr1:150044232|150049857	hsa_circ_0110726
chr1:150048310|150049857	hsa_circ_0110727
chr1:150048993|150082742	hsa_circ_0013992
chr1:150049746|150065744	hsa_circ_0013993
chr1:150049746|150082742	hsa_circ_0110729
chr1:150053423|150054079	hsa_circ_0110730
chr1:150053423|150082742	hsa_circ_0013994
chr1:150064030|150082742	hsa_circ_0110731
chr1:150065622|150065744	hsa_circ_0013995
chr1:150123101|150129209	hsa_circ_0013996
chr1:150195507|150199043	hsa_circ_0110733
chr1:150198939|150204264	hsa_circ_0013999
chr1:150201404|150204264	hsa_circ_0110734
chr1:150202905|150204264	hsa_circ_0004300
chr1:150258841|150259405	hsa_circ_0008958
chr11:50274585|50280169	hsa_circ_0095968
chr1:150297352|150305670	hsa_circ_0014004
chr1:150300015|150300925	hsa_circ_0110736
chr1:150305154|150307712	hsa_circ_0110737
chr1:150307405|150307712	hsa_circ_0110738
chr1:150307405|150310802	hsa_circ_0014008
chr1:150307405|150312953	hsa_circ_0110739
chr1:150316909|150317023	hsa_circ_0110740
chr1:150318493|150318967	hsa_circ_0014011
chr1:150390071|150390201	hsa_circ_0014012
chr1:150390071|150418877	hsa_circ_0006360
chr1:150413398|150415759	hsa_circ_0110745
chr1:150413398|150416853	hsa_circ_0004437
chr1:150413398|150418877	hsa_circ_0110746
chr1:150413398|150430046	hsa_circ_0110747
chr1:150414356|150418877	hsa_circ_0110748
chr1:150414356|150432793	hsa_circ_0110749
chr1:150416726|150418877	hsa_circ_0110750
chr1:150416726|150430046	hsa_circ_0110751
chr1:150416726|150432793	hsa_circ_0014013
chr1:150416726|150437203	hsa_circ_0110752
chr1:150418701|150418877	hsa_circ_0007363
chr1:150418701|150430046	hsa_circ_0110753
chr1:150418701|150437203	hsa_circ_0110754
chr1:150429763|150430046	hsa_circ_0014014
chr1:150429763|150432793	hsa_circ_0014015
chr1:150432535|150432793	hsa_circ_0014016
chr1:150457520|150464965	hsa_circ_0110755
chr1:150463076|150464965	hsa_circ_0014019
chr1:150464073|150464965	hsa_circ_0014020
chr1:150464886|150469384	hsa_circ_0003952
chr1:150464886|150470223	hsa_circ_0014022
chr1:150468957|150469384	hsa_circ_0014024
chr1:150470005|150471769	hsa_circ_0014026
chr1:150470977|150471769	hsa_circ_0014027
chr1:150549934|150550593	hsa_circ_0110758
chr1:150550996|150551318	hsa_circ_0002364
chr1:150621143|150634404	hsa_circ_0110759
chr1:150621143|150636239	hsa_circ_0110760
chr1:150634289|150636239	hsa_circ_0110761
chr1:150704471|150704608	hsa_circ_0110763
chr1:150720252|150730456	hsa_circ_0110764
chr1:150720252|150738270	hsa_circ_0110765
chr1:150778982|150779282	hsa_circ_0110766
chr1:150786552|150786715	hsa_circ_0014044
chr1:150790395|150795821	hsa_circ_0014046
chr1:150790395|150799093	hsa_circ_0006494
chr1:150795669|150799093	hsa_circ_0003116
chr1:150795669|150804875	hsa_circ_0110767
chr1:150795669|150808969	hsa_circ_0110768
chr1:150795669|150812130	hsa_circ_0110769
chr1:150799018|150807116	hsa_circ_0110770
chr1:150807013|150808969	hsa_circ_0110772
chr1:150807013|150812130	hsa_circ_0110773
chr1:150816448|150816806	hsa_circ_0110774
chr1:150900179|150902594	hsa_circ_0014050
chr1:150900179|150912450	hsa_circ_0014051
chr1:150900179|150913904	hsa_circ_0003439
chr1:150902442|150913904	hsa_circ_0006851
chr1:150902442|150915529	hsa_circ_0110777
chr1:150902442|150923957	hsa_circ_0110778
chr1:150902442|150931823	hsa_circ_0014053
chr1:150915038|150919488	hsa_circ_0014056
chr1:150915038|150923957	hsa_circ_0014057
chr1:150916395|150919488	hsa_circ_0110779
chr1:150919361|150922001	hsa_circ_0003049
chr1:150919361|150923957	hsa_circ_0014061
chr1:150921597|150922001	hsa_circ_0014063
chr1:150921597|150923957	hsa_circ_0014064
chr1:150921597|150931823	hsa_circ_0014065
chr1:150923840|150934634	hsa_circ_0014069
chr1:150923840|150935195	hsa_circ_0006352
chr1:150923840|150936559	hsa_circ_0014070
chr1:150931653|150933667	hsa_circ_0110780
chr1:150933038|150933667	hsa_circ_0110781
chr1:150933038|150934634	hsa_circ_0005995
chr1:150936005|150936559	hsa_circ_0014073
chr1:150936470|150936559	hsa_circ_0014074
chr1:150938637|150941567	hsa_circ_0110782
chr1:150938951|150941567	hsa_circ_0110783
chr1:150939549|150939960	hsa_circ_0014076
chr1:150990287|150991145	hsa_circ_0006817
chr1:150990287|150999803	hsa_circ_0014084
chr1:150990287|151001420	hsa_circ_0014085
chr1:150997086|150998149	hsa_circ_0006760
chr1:150997086|150999803	hsa_circ_0000126
chr1:150997086|151001420	hsa_circ_0014086
chr1:150997990|150999803	hsa_circ_0110786
chr1:150997990|151001420	hsa_circ_0014087
chr1:150999708|151001420	hsa_circ_0014088
chr1:151001261|151001420	hsa_circ_0014089
chr1:151015431|151016203	hsa_circ_0014090
chr1:151026706|151028469	hsa_circ_0014091
chr1:151028152|151028469	hsa_circ_0014093
chr1:151060665|151063049	hsa_circ_0014096
chr1:151060665|151065862	hsa_circ_0110789
chr1:151060665|151070478	hsa_circ_0000127
chr1:151060665|151079698	hsa_circ_0110790
chr1:151060665|151089992	hsa_circ_0014097
chr1:151060665|151090615	hsa_circ_0110791
chr1:151062881|151070478	hsa_circ_0014098
chr1:151062881|151079698	hsa_circ_0110792
chr1:151065667|151079698	hsa_circ_0110793
chr1:151065667|151090615	hsa_circ_0110794
chr1:151070327|151079698	hsa_circ_0014099
chr1:151070327|151089992	hsa_circ_0014100
chr1:151070327|151090615	hsa_circ_0110795
chr1:151079512|151090615	hsa_circ_0110796
chr1:151089867|151090615	hsa_circ_0110797
chr1:151096946|151097165	hsa_circ_0110798
chr1:151111900|151112566	hsa_circ_0110800
chr1:151134211|151134576	hsa_circ_0014105
chr1:151139409|151139890	hsa_circ_0000128
chr1:151139801|151139890	hsa_circ_0014109
chr1:151143395|151144016	hsa_circ_0014111
chr1:151144743|151146091	hsa_circ_0014112
chr1:151144743|151150621	hsa_circ_0110801
chr1:151145974|151149507	hsa_circ_0000129
chr1:151150476|151156969	hsa_circ_0110802
chr1:151157981|151158426	hsa_circ_0110803
chr1:151158273|151158426	hsa_circ_0110804
chr1:151175480|151175649	hsa_circ_0110805
chr1:151196720|151199876	hsa_circ_0014116
chr1:151196720|151204841	hsa_circ_0014117
chr1:151196720|151205179	hsa_circ_0014118
chr1:151196720|151206972	hsa_circ_0014119
chr1:151196720|151211654	hsa_circ_0014120
chr1:151196720|151215043	hsa_circ_0014121
chr1:151196723|151199876	hsa_circ_0014122
chr1:151196723|151205179	hsa_circ_0007228
chr1:151196723|151206972	hsa_circ_0014123
chr1:151196723|151209239	hsa_circ_0014124
chr1:151196723|151215043	hsa_circ_0014125
chr1:151199795|151205179	hsa_circ_0008018
chr1:151199795|151209239	hsa_circ_0014127
chr1:151199795|151212515	hsa_circ_0014128
chr1:151204146|151205179	hsa_circ_0005710
chr1:151204723|151204841	hsa_circ_0014129
chr1:151206672|151212515	hsa_circ_0014130
chr1:151206672|151215043	hsa_circ_0014131
chr1:151209033|151209239	hsa_circ_0003432
chr1:151212430|151215043	hsa_circ_0008623
chr1:151214598|151215043	hsa_circ_0014132
chr1:151214598|151219441	hsa_circ_0014133
chr1:151234636|151236504	hsa_circ_0004482
chr1:151234636|151238588	hsa_circ_0014135
chr1:151234636|151238915	hsa_circ_0014136
chr1:151236389|151239063	hsa_circ_0014137
chr1:151237307|151239815	hsa_circ_0008807
chr1:151261003|151261747	hsa_circ_0014144
chr1:151261003|151262016	hsa_circ_0014145
chr1:151261853|151263049	hsa_circ_0014146
chr1:151266493|151267017	hsa_circ_0014147
chr1:151271283|151271549	hsa_circ_0014148
chr1:151271283|151276126	hsa_circ_0014149
chr1:151271283|151278839	hsa_circ_0014150
chr1:151276016|151278839	hsa_circ_0014151
chr1:151288048|151288985	hsa_circ_0006892
chr1:151297220|151297393	hsa_circ_0110806
chr1:151317203|151317664	hsa_circ_0014152
chr1:151317581|151317664	hsa_circ_0014153
chr1:151340674|151342245	hsa_circ_0014156
chr1:151372456|151372633	hsa_circ_0110807
chr1:151373714|151374106	hsa_circ_0110808
chr1:151379386|151381304	hsa_circ_0014167
chr1:151380575|151381304	hsa_circ_0110809
chr1:151380575|151403317	hsa_circ_0014168
chr1:151384100|151384872	hsa_circ_0014171
chr1:151384100|151403317	hsa_circ_0014172
chr1:151395872|151397537	hsa_circ_0014173
chr1:151395872|151403317	hsa_circ_0008701
chr1:151395872|151414681	hsa_circ_0014174
chr1:151400298|151403317	hsa_circ_0008704
chr1:151400298|151414681	hsa_circ_0002520
chr1:151403141|151414681	hsa_circ_0014177
chr1:151413403|151414681	hsa_circ_0014178
chr1:151536379|151542246	hsa_circ_0014182
chr1:151551196|151552208	hsa_circ_0110810
chr1:15157716|15157941	hsa_circ_0110811
chr1:151611363|151611595	hsa_circ_0000130
chr1:151611363|151633338	hsa_circ_0014183
chr1:151611363|151634746	hsa_circ_0014184
chr1:151611363|151638487	hsa_circ_0014185
chr1:151611363|151641111	hsa_circ_0000131
chr1:151611363|151655921	hsa_circ_0014186
chr1:151611363|151665515	hsa_circ_0014187
chr1:151611363|151665959	hsa_circ_0014188
chr1:151630710|151630903	hsa_circ_0014189
chr1:151630710|151634746	hsa_circ_0110813
chr1:151630710|151638487	hsa_circ_0014190
chr1:151630710|151641111	hsa_circ_0002394
chr1:151630710|151655921	hsa_circ_0014191
chr1:151630710|151665515	hsa_circ_0110814
chr1:151630710|151665959	hsa_circ_0110815
chr1:151633273|151638487	hsa_circ_0110816
chr1:151634641|151655921	hsa_circ_0110817
chr1:151634641|151665060	hsa_circ_0014193
chr1:151638408|151655921	hsa_circ_0110818
chr1:151655831|151667156	hsa_circ_0110820
chr1:15184984|15185427	hsa_circ_0110825
chr1:151860748|151861849	hsa_circ_0014197
chr1:151860748|151867670	hsa_circ_0014198
chr1:152221370|152224234	hsa_circ_0110826
chr1:152287381|152307915	hsa_circ_0110827
chr1:152305058|152346523	hsa_circ_0110828
chr1:153580474|153580653	hsa_circ_0014240
chr1:15361244|15370655	hsa_circ_0010030
chr1:153635494|153642354	hsa_circ_0014262
chr1:153635690|153636950	hsa_circ_0014263
chr1:153635690|153637812	hsa_circ_0014264
chr1:153636518|153636606	hsa_circ_0014269
chr1:153636518|153636950	hsa_circ_0014270
chr1:153636518|153637812	hsa_circ_0014271
chr1:153636518|153638204	hsa_circ_0014272
chr1:153636518|153641033	hsa_circ_0110829
chr1:153636871|153637812	hsa_circ_0014275
chr1:153636871|153642354	hsa_circ_0014276
chr1:153637695|153637812	hsa_circ_0014277
chr1:153637695|153638204	hsa_circ_0014278
chr1:153637695|153641033	hsa_circ_0000133
chr1:153637837|153638138	hsa_circ_0007039
chr1:153640030|153641033	hsa_circ_0110830
chr1:153640928|153642354	hsa_circ_0014280
chr1:153658598|153659226	hsa_circ_0014281
chr11:5367002|5367129	hsa_circ_0020974
chr11:5367002|5367583	hsa_circ_0020975
chr11:5367002|5368140	hsa_circ_0020976
chr1:15370484|15370655	hsa_circ_0010031
chr1:153713760|153719546	hsa_circ_0014286
chr1:153713760|153730239	hsa_circ_0014287
chr1:153721164|153730239	hsa_circ_0014289
chr1:153723570|153727215	hsa_circ_0014291
chr1:153723570|153730239	hsa_circ_0014292
chr1:153724754|153730239	hsa_circ_0014295
chr1:153724754|153732089	hsa_circ_0110832
chr1:153727117|153730239	hsa_circ_0005964
chr1:153732001|153732866	hsa_circ_0014301
chr1:153732001|153737539	hsa_circ_0005948
chr1:153732786|153732866	hsa_circ_0014302
chr1:153732786|153737539	hsa_circ_0014303
chr1:153732786|153741437	hsa_circ_0014304
chr1:153734045|153737539	hsa_circ_0014306
chr1:153735203|153737539	hsa_circ_0006939
chr1:153749537|153749696	hsa_circ_0014311
chr1:153784206|153785928	hsa_circ_0110833
chr1:153789847|153790647	hsa_circ_0110834
chr1:153789847|153792211	hsa_circ_0014318
chr1:153791266|153792211	hsa_circ_0110835
chr1:153794305|153794450	hsa_circ_0110836
chr1:15382586|15386798	hsa_circ_0010032
chr1:15382586|15390118	hsa_circ_0110837
chr1:153909963|153910339	hsa_circ_0004041
chr1:153909963|153911521	hsa_circ_0014331
chr1:153909963|153912732	hsa_circ_0014332
chr1:153909963|153913916	hsa_circ_0014335
chr1:153913379|153913524	hsa_circ_0110838
chr1:153923735|153925310	hsa_circ_0014343
chr1:153963590|153964152	hsa_circ_0014354
chr1:154054546|154076855	hsa_circ_0110839
chr1:154061896|154114000	hsa_circ_0014358
chr1:154141780|154143187	hsa_circ_0014360
chr1:154145383|154145677	hsa_circ_0008368
chr1:154179501|154179611	hsa_circ_0110840
chr1:154184795|154185100	hsa_circ_0014363
chr1:154184795|154186422	hsa_circ_0014364
chr1:154184795|154187050	hsa_circ_0014365
chr1:154197559|154201201	hsa_circ_0014370
chr1:154197559|154209612	hsa_circ_0110841
chr1:154197559|154214041	hsa_circ_0110842
chr1:154197559|154218851	hsa_circ_0110843
chr1:154197559|154229910	hsa_circ_0014371
chr1:154199757|154201201	hsa_circ_0014372
chr1:154207066|154207767	hsa_circ_0110845
chr1:154207066|154218851	hsa_circ_0014375
chr1:154207066|154224129	hsa_circ_0014376
chr1:154213988|154218851	hsa_circ_0006849
chr1:154213988|154232505	hsa_circ_0014380
chr1:154215692|154218851	hsa_circ_0014381
chr1:154218679|154218851	hsa_circ_0014384
chr1:154218679|154224129	hsa_circ_0014385
chr1:154221714|154224129	hsa_circ_0006433
chr1:154223516|154224129	hsa_circ_0004717
chr1:154223516|154226565	hsa_circ_0014389
chr1:154223516|154229910	hsa_circ_0014391
chr1:154223516|154239044	hsa_circ_0014392
chr1:154226375|154228231	hsa_circ_0014394
chr1:154226375|154232505	hsa_circ_0014395
chr1:154229821|154231506	hsa_circ_0014403
chr1:154231452|154232505	hsa_circ_0014405
chr1:154231452|154233585	hsa_circ_0014406
chr1:154231452|154241430	hsa_circ_0014409
chr1:154232423|154232505	hsa_circ_0014411
chr1:154232423|154234173	hsa_circ_0014412
chr1:154233367|154234173	hsa_circ_0014413
chr1:154233367|154239044	hsa_circ_0014414
chr1:154234067|154234173	hsa_circ_0014415
chr1:154302871|154303622	hsa_circ_0014420
chr1:154306582|154307067	hsa_circ_0014422
chr1:154306582|154310020	hsa_circ_0014423
chr1:154309823|154310020	hsa_circ_0110848
chr1:154309823|154313538	hsa_circ_0110849
chr1:154407465|154407632	hsa_circ_0014424
chr1:154420600|154427057	hsa_circ_0014425
chr1:154441386|154441567	hsa_circ_0000134
chr1:154558656|154560734	hsa_circ_0014436
chr1:154560600|154560734	hsa_circ_0014437
chr1:154561026|154569743	hsa_circ_0005423
chr1:154569280|154569471	hsa_circ_0014440
chr1:154569280|154569743	hsa_circ_0014441
chr1:154573516|154575102	hsa_circ_0014442
chr1:154573893|154574043	hsa_circ_0110852
chr1:154574285|154574432	hsa_circ_0110853
chr1:154685939|154705620	hsa_circ_0014446
chr1:154698391|154705620	hsa_circ_0014447
chr1:154766859|154794660	hsa_circ_0110854
chr1:154782426|154794660	hsa_circ_0110855
chr1:154794564|154794660	hsa_circ_0014448
chr1:154901499|154904891	hsa_circ_0110856
chr1:154923707|154924397	hsa_circ_0014452
chr1:154938018|154938993	hsa_circ_0014457
chr1:154938637|154940273	hsa_circ_0014460
chr1:154940146|154940273	hsa_circ_0014461
chr1:154940146|154940507	hsa_circ_0014462
chr1:154940146|154941924	hsa_circ_0014463
chr1:154960580|154963004	hsa_circ_0014470
chr1:154962814|154963004	hsa_circ_0014472
chr1:154998777|154999191	hsa_circ_0014476
chr1:155026385|155031263	hsa_circ_0110857
chr1:155026385|155032819	hsa_circ_0014478
chr1:155152107|155152410	hsa_circ_0110858
chr1:155170687|155170795	hsa_circ_0014499
chr1:155180136|155180418	hsa_circ_0014503
chr1:155182175|155202636	hsa_circ_0000135
chr1:155185353|155205635	hsa_circ_0110860
chr1:155186174|155206260	hsa_circ_0110861
chr1:155187754|155208441	hsa_circ_0000136
chr1:155209406|155209868	hsa_circ_0014507
chr1:155230120|155230241	hsa_circ_0014520
chr1:155234258|155238150	hsa_circ_0014525
chr1:155234258|155240768	hsa_circ_0014526
chr1:155235650|155236686	hsa_circ_0014528
chr1:155239278|155239507	hsa_circ_0014532
chr1:155240598|155240768	hsa_circ_0014533
chr1:155256963|155257128	hsa_circ_0014534
chr1:155297940|155298066	hsa_circ_0014545
chr1:155307017|155307140	hsa_circ_0110863
chr1:155307379|155309159	hsa_circ_0110864
chr1:155307379|155311893	hsa_circ_0110865
chr1:155307379|155314064	hsa_circ_0110866
chr1:155307879|155309159	hsa_circ_0014547
chr1:155307879|155340774	hsa_circ_0014548
chr1:155311726|155316260	hsa_circ_0110867
chr1:155313104|155313533	hsa_circ_0110868
chr1:155313104|155316260	hsa_circ_0014551
chr1:155313104|155317695	hsa_circ_0110869
chr1:155316173|155317695	hsa_circ_0014558
chr1:155316173|155322649	hsa_circ_0014559
chr1:155316173|155340774	hsa_circ_0014560
chr1:155317446|155319387	hsa_circ_0110870
chr1:155319117|155319387	hsa_circ_0014563
chr1:155319117|155324421	hsa_circ_0006572
chr1:155322496|155324421	hsa_circ_0110871
chr1:155322496|155327540	hsa_circ_0014566
chr1:155322496|155330200	hsa_circ_0110872
chr1:155322496|155340774	hsa_circ_0014567
chr1:155322496|155385714	hsa_circ_0014568
chr1:155324263|155327540	hsa_circ_0014569
chr1:155324263|155340774	hsa_circ_0014570
chr1:155324263|155429689	hsa_circ_0014571
chr1:155327106|155327540	hsa_circ_0110873
chr1:155327106|155330200	hsa_circ_0014572
chr1:155330091|155340774	hsa_circ_0110874
chr1:155330091|155365344	hsa_circ_0110875
chr1:155330091|155429689	hsa_circ_0014575
chr1:155340294|155340774	hsa_circ_0007608
chr1:155340294|155349907	hsa_circ_0014576
chr1:155340294|155365344	hsa_circ_0014577
chr1:155340294|155385714	hsa_circ_0014578
chr1:155340294|155429689	hsa_circ_0014579
chr1:155340567|155340774	hsa_circ_0014580
chr1:155348071|155349907	hsa_circ_0110876
chr1:155348071|155365344	hsa_circ_0110877
chr1:155348071|155385714	hsa_circ_0002897
chr1:155348071|155429689	hsa_circ_0014581
chr1:155365249|155373674	hsa_circ_0110878
chr1:155365249|155385714	hsa_circ_0014583
chr1:155365249|155408859	hsa_circ_0110879
chr1:155365249|155429689	hsa_circ_0014584
chr1:155377932|155385714	hsa_circ_0008161
chr1:155385534|155385714	hsa_circ_0004060
chr1:155385534|155408859	hsa_circ_0014585
chr1:155385534|155429689	hsa_circ_0014586
chr1:155408117|155408859	hsa_circ_0000137
chr1:155408117|155429689	hsa_circ_0003247
chr1:155408117|155432390	hsa_circ_0110880
chr1:155408117|155452240	hsa_circ_0110881
chr1:155429587|155452240	hsa_circ_0014588
chr1:155429587|155491409	hsa_circ_0014589
chr1:155447676|155452240	hsa_circ_0014590
chr1:155447676|155491409	hsa_circ_0014591
chr1:155490890|155491409	hsa_circ_0014592
chr1:155631097|155640255	hsa_circ_0014600
chr1:155631097|155747611	hsa_circ_0003955
chr1:155638417|155640255	hsa_circ_0110883
chr1:155638417|155644887	hsa_circ_0014601
chr1:155638417|155649303	hsa_circ_0110884
chr1:155638417|155650247	hsa_circ_0110885
chr1:155640110|155640255	hsa_circ_0014602
chr1:155640110|155644887	hsa_circ_0110886
chr1:155640110|155649303	hsa_circ_0110887
chr1:155640110|155650247	hsa_circ_0014603
chr1:155642350|155649303	hsa_circ_0014604
chr1:155644800|155644887	hsa_circ_0014605
chr1:155644800|155649303	hsa_circ_0003608
chr1:155644800|155650247	hsa_circ_0110888
chr1:155644800|155753880	hsa_circ_0002816
chr1:155646338|155649303	hsa_circ_0014606
chr1:155646338|155650247	hsa_circ_0110889
chr1:155646338|155746272	hsa_circ_0110890
chr1:155679563|155686919	hsa_circ_0014608
chr1:155679563|155691409	hsa_circ_0110892
